TEMPO,TIPO,ANO
19.61,IMPRESSORA,2010
14.64,SISTEMA,2010
16.62,NAO LIGA,2010
19.58,IMPRESSORA,2010
19.57,IMPRESSORA,2010
19.57,ERRO,2010
17.62,SISTEMA,2010
4.5,SIHOSP,2010
1.49,SIHOSP,2010
14.36,MOUSE,2010
14.36,IMPRESSORA,2010
15.34,TECLADO,2010
36.5,SISTEMA,2010
36.48,SISTEMA,2010
14.33,SIHOSP,2010
68.54,IMPRESSORA,2010
7.36,SISTEMA,2010
2.54,ERRO,2010
2.54,SISTEMA,2010
10.65,SIHOSP,2010
13.28,ERRO,2010
66.53,ERRO,2010
66.53,ERRO,2010
12.59,SISTEMA,2010
1.56,ERRO,2010
13.52,NAO LIGA,2010
1.66,SISTEMA,2010
10.54,SISTEMA,2010
7.29,SIHOSP,2010
5.3,SISTEMA,2010
8.28,NAO LIGA,2010
21.63,MOUSE,2010
5.53,SISTEMA,2010
2.53,ERRO,2010
2.3,ERRO,2010
31.52,SISTEMA,2010
31.52,SISTEMA,2010
14.56,TECLADO,2010
20.31,SIHOSP,2010
9.62,ERRO,2010
19.57,IMPRESSORA,2010
36.67,ERRO,2010
27.6,SISTEMA,2010
5.5,ERRO,2010
52.41,SIHOSP,2010
16.64,NAO LIGA,2010
13.63,SIHOSP,2010
61.66,MOUSE,2010
52.41,MOUSE,2010
16.61,MOUSE,2010
4.31,SISTEMA,2010
2.61,SISTEMA,2010
19.54,SIHOSP,2010
19.54,MOUSE,2010
5.6,COMPUTADOR,2010
18.6,SIHOSP,2010
16.6,SISTEMA,2010
13.65,COMPUTADOR,2010
25.62,TECLADO,2010
25.62,IMPRESSORA,2010
2.62,SIHOSP,2010
2.62,SIHOSP,2010
2.61,SIHOSP,2010
2.61,IMPRESSORA,2010
2.61,IMPRESSORA,2010
2.61,IMPRESSORA,2010
25.6,MOUSE,2010
6.34,SIHOSP,2010
5.34,COMPUTADOR,2010
72.34,SISTEMA,2010
1.33,LASER,2010
3.61,SISTEMA,2010
1.57,IMPRESSORA,2010
2.32,SISTEMA,2010
48.36,MOUSE,2010
10.63,ERRO,2010
28.29,SISTEMA,2010
67.53,SIHOSP,2010
25.62,ERRO,2010
25.6,TECLADO,2010
2.6,IMPRESSORA,2010
2.6,IMPRESSORA,2010
25.6,IMPRESSORA,2010
25.6,IMPRESSORA,2010
25.6,NAO LIGA,2010
25.59,IMPRESSORA,2010
2.59,IMPRESSORA,2010
1.59,SIHOSP,2010
42.51,SIHOSP,2010
12.52,ERRO,2010
2.58,NAO LIGA,2010
25.56,IMPRESSORA,2010
28.55,ERRO,2010
3.37,TECLADO,2010
3.37,TECLADO,2010
2.42,IMPRESSORA,2010
22.41,COMPUTADOR,2010
2.5,LASER,2010
2.68,IMPRESSORA,2010
5.68,MOUSE,2010
10.63,SIHOSP,2010
30.63,SIHOSP,2010
2.65,IMPRESSORA,2010
2.65,LASER,2010
2.65,SISTEMA,2010
45.39,SIHOSP,2010
45.39,SISTEMA,2010
1.42,SIHOSP,2010
1.42,SIHOSP,2010
18.32,COMPUTADOR,2010
12.57,ERRO,2010
3.51,ERRO,2010
7.65,IMPRESSORA,2010
3.36,IMPRESSORA,2010
27.29,IMPRESSORA,2010
1.32,SISTEMA,2010
20.41,COMPUTADOR,2010
20.41,COMPUTADOR,2010
20.41,SISTEMA,2010
40.4,SISTEMA,2010
11.39,SISTEMA,2010
3.32,SIHOSP,2010
1.42,SIHOSP,2010
37.41,SIHOSP,2010
89.41,SIHOSP,2010
