"BENNER","ESTOQUE","ANAMNESE","MICRO","MONITO","MOUSE","ACESS","ERRO","IMPRESSORA","SIHOSP"
"3.9","0","0","0","0","0","0","3.9","0","0"
"0","0","0","0","0","2.08","0","0","0","0"
"1.2","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","2.76","0","0","0"
"1.04","0","0","0","0","0","1.04","1.04","0","0"
"0","0","0","0","0","0","0","1.06","0","0"
"0","0","0","0","0","0","1.97","0","0","0"
"0","0","0","0","0","0","2.63","0","0","0"
"0","0","0","0","0","0","0","0","3.02","0"
"0","0","0","0","0","0","0","1.11","0","0"
"0","0","0","0","0","0","0","0","1.28","0"
"0","0","0","0","0","0","0","1.29","0","0"
"0","0","0","3.25","0","0","0","0","0","0"
"0","0","0","3.3","0","0","0","0","0","0"
"0","0","0","3.02","0","0","0","0","0","0"
"0","0","0","3.02","0","0","0","0","0","0"
"0","0","0","0","3.12","0","0","0","0","0"
"0","0","0","5.28","0","0","5.28","0","0","0"
"0","0","0","0","0","0","0","0","1.97","0"
"0","0","0","0","0","0","0","1.71","0","0"
"0","0","0","0","0","0","4.23","0","0","4.23"
"0","0","0","0","0","0","0","0","5.34","0"
"0","0","0","0","0","0","0","1.36","0","0"
"0","0","0","0","1.31","0","0","0","0","0"
"0","0","0","4.95","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","7.34","0"
"8.04","0","0","0","0","0","0","0","0","0"
"1.96","0","0","0","0","0","1.96","1.96","0","0"
"0","0","0","0","0","0","0","7.72","0","0"
"0","0","0","1.19","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","9.35","0"
"0","0","0","6.88","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","6.31","0"
"0","1.94","0","0","0","0","1.94","0","0","0"
"1.98","0","0","0","0","0","0","0","0","1.98"
"0","0","0","0","0","0","0","0","6.42","0"
"0","0","0","0","5.3","0","0","0","0","0"
"0","0","0","0","6.26","0","0","0","0","0"
"0","0","0","0","0","0","0","2.01","0","0"
"0","0","0","0","0","3.71","0","0","0","0"
"0","0","0","0","0","0","0","4.76","0","0"
"0","0","0","4.03","0","0","0","0","0","0"
"0","0","0","0","0","0","0","10.96","0","0"
"0","0","0","8.04","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","11.23","0"
"0","0","0","0","0","0","1.65","0","0","1.65"
"0","0","0","0","4.2","0","0","0","0","0"
"0","0","0","1.24","0","0","0","0","0","0"
"0","0","0","4.19","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","4.18","0"
"0","0","0","4.03","0","0","0","0","0","0"
"0","0","0","2.98","0","0","0","0","0","0"
"0","0","0","0","0","0","5.93","0","0","0"
